question,answer
What flavor does Ledikeni have?,sweet
What is the food category of Ledikeni?,dessert
In which course is Ledikeni typically served?,dessert
Is Ledikeni a main dish or a side dish?,dessert
What ingredients are needed to prepare Lyangcha?,"Flour, fried milk power, sugar syrup"
What are the required ingredients to make Lyangcha?,"Flour, fried milk power, sugar syrup"
What is Lyangcha made of?,"Flour, fried milk power, sugar syrup"
What is the dietary type of Lyangcha?,vegetarian
Is Lyangcha vegetarian or non-vegetarian?,vegetarian
What diet category does Lyangcha belong to?,vegetarian
How long does it take to prepare Lyangcha?,20 minutes
What is the preparation time for Lyangcha?,20 minutes
How many minutes does it take to prepare Lyangcha?,20 minutes
How long does it take to cook Lyangcha?,30 minutes
What is the cooking time for Lyangcha?,30 minutes
How many minutes does it take to cook Lyangcha?,30 minutes
What is the origin of Lyangcha?,Assam
In which state was Lyangcha created?,Assam
Which state does Lyangcha belong to?,Assam
In which region is Lyangcha prepared?,North East
What region does Lyangcha belong to?,North East
In which region is Lyangcha popular?,North East
What is the flavor profile of Lyangcha?,sweet
How does Lyangcha taste?,sweet
What flavor does Lyangcha have?,sweet
What is the food category of Lyangcha?,dessert
In which course is Lyangcha typically served?,dessert
Is Lyangcha a main dish or a side dish?,dessert
What ingredients are needed to prepare Malapua?,"Yoghurt, refined flour, ghee, fennel seeds"
What are the required ingredients to make Malapua?,"Yoghurt, refined flour, ghee, fennel seeds"
What is Malapua made of?,"Yoghurt, refined flour, ghee, fennel seeds"
What is the dietary type of Malapua?,vegetarian
Is Malapua vegetarian or non-vegetarian?,vegetarian
What diet category does Malapua belong to?,vegetarian
How long does it take to prepare Malapua?,10 minutes
What is the preparation time for Malapua?,10 minutes
How many minutes does it take to prepare Malapua?,10 minutes
How long does it take to cook Malapua?,120 minutes
What is the cooking time for Malapua?,120 minutes
How many minutes does it take to cook Malapua?,120 minutes
What is the origin of Malapua?,Bihar
In which state was Malapua created?,Bihar
Which state does Malapua belong to?,Bihar
In which region is Malapua prepared?,North
What region does Malapua belong to?,North
In which region is Malapua popular?,North
What is the flavor profile of Malapua?,sweet
How does Malapua taste?,sweet
What flavor does Malapua have?,sweet
What is the food category of Malapua?,dessert
In which course is Malapua typically served?,dessert
Is Malapua a main dish or a side dish?,dessert
What ingredients are needed to prepare Mihidana?,"Besan flour, sugar, ghee"
What are the required ingredients to make Mihidana?,"Besan flour, sugar, ghee"
What is Mihidana made of?,"Besan flour, sugar, ghee"
What is the dietary type of Mihidana?,vegetarian
Is Mihidana vegetarian or non-vegetarian?,vegetarian
What diet category does Mihidana belong to?,vegetarian
How long does it take to prepare Mihidana?,15 minutes
What is the preparation time for Mihidana?,15 minutes
How many minutes does it take to prepare Mihidana?,15 minutes
How long does it take to cook Mihidana?,30 minutes
What is the cooking time for Mihidana?,30 minutes
How many minutes does it take to cook Mihidana?,30 minutes
What is the origin of Mihidana?,West Bengal
In which state was Mihidana created?,West Bengal
Which state does Mihidana belong to?,West Bengal
In which region is Mihidana prepared?,East
What region does Mihidana belong to?,East
In which region is Mihidana popular?,East
What is the flavor profile of Mihidana?,sweet
How does Mihidana taste?,sweet
What flavor does Mihidana have?,sweet
What is the food category of Mihidana?,dessert
In which course is Mihidana typically served?,dessert
Is Mihidana a main dish or a side dish?,dessert
What ingredients are needed to prepare Misti doi?,"Milk, jaggery"
What are the required ingredients to make Misti doi?,"Milk, jaggery"
What is Misti doi made of?,"Milk, jaggery"
What is the dietary type of Misti doi?,vegetarian
Is Misti doi vegetarian or non-vegetarian?,vegetarian
What diet category does Misti doi belong to?,vegetarian
How long does it take to prepare Misti doi?,480 minutes
What is the preparation time for Misti doi?,480 minutes
How many minutes does it take to prepare Misti doi?,480 minutes
How long does it take to cook Misti doi?,30 minutes
What is the cooking time for Misti doi?,30 minutes
How many minutes does it take to cook Misti doi?,30 minutes
What is the origin of Misti doi?,West Bengal
In which state was Misti doi created?,West Bengal
Which state does Misti doi belong to?,West Bengal
In which region is Misti doi prepared?,East
What region does Misti doi belong to?,East
In which region is Misti doi popular?,East
What is the flavor profile of Misti doi?,sweet
How does Misti doi taste?,sweet
What flavor does Misti doi have?,sweet
What is the food category of Misti doi?,dessert
In which course is Misti doi typically served?,dessert
Is Misti doi a main dish or a side dish?,dessert
What ingredients are needed to prepare Pantua?,"Chhena, sugar, ghee, flour"
What are the required ingredients to make Pantua?,"Chhena, sugar, ghee, flour"
What is Pantua made of?,"Chhena, sugar, ghee, flour"
What is the dietary type of Pantua?,vegetarian
Is Pantua vegetarian or non-vegetarian?,vegetarian
What diet category does Pantua belong to?,vegetarian
How long does it take to prepare Pantua?,45 minutes
What is the preparation time for Pantua?,45 minutes
How many minutes does it take to prepare Pantua?,45 minutes
How long does it take to cook Pantua?,45 minutes
What is the cooking time for Pantua?,45 minutes
How many minutes does it take to cook Pantua?,45 minutes
What is the origin of Pantua?,West Bengal
In which state was Pantua created?,West Bengal
Which state does Pantua belong to?,West Bengal
In which region is Pantua prepared?,East
What region does Pantua belong to?,East
In which region is Pantua popular?,East
What is the flavor profile of Pantua?,sweet
How does Pantua taste?,sweet
What flavor does Pantua have?,sweet
What is the food category of Pantua?,dessert
In which course is Pantua typically served?,dessert
Is Pantua a main dish or a side dish?,dessert
What ingredients are needed to prepare Pithe?,"Rice flour, wheat flour"
What are the required ingredients to make Pithe?,"Rice flour, wheat flour"
What is Pithe made of?,"Rice flour, wheat flour"
What is the dietary type of Pithe?,vegetarian
Is Pithe vegetarian or non-vegetarian?,vegetarian
What diet category does Pithe belong to?,vegetarian
How long does it take to prepare Pithe?,15 minutes
What is the preparation time for Pithe?,15 minutes
How many minutes does it take to prepare Pithe?,15 minutes
How long does it take to cook Pithe?,35 minutes
What is the cooking time for Pithe?,35 minutes
How many minutes does it take to cook Pithe?,35 minutes
What is the origin of Pithe?,Assam
In which state was Pithe created?,Assam
Which state does Pithe belong to?,Assam
In which region is Pithe prepared?,North East
What region does Pithe belong to?,North East
In which region is Pithe popular?,North East
What is the flavor profile of Pithe?,sweet
How does Pithe taste?,sweet
What flavor does Pithe have?,sweet
What is the food category of Pithe?,dessert
In which course is Pithe typically served?,dessert
Is Pithe a main dish or a side dish?,dessert
What ingredients are needed to prepare Rasabali?,"Chenna, sweetened milk"
What are the required ingredients to make Rasabali?,"Chenna, sweetened milk"
What is Rasabali made of?,"Chenna, sweetened milk"
What is the dietary type of Rasabali?,vegetarian
Is Rasabali vegetarian or non-vegetarian?,vegetarian
What diet category does Rasabali belong to?,vegetarian
How long does it take to prepare Rasabali?,15 minutes
What is the preparation time for Rasabali?,15 minutes
How many minutes does it take to prepare Rasabali?,15 minutes
How long does it take to cook Rasabali?,30 minutes
What is the cooking time for Rasabali?,30 minutes
How many minutes does it take to cook Rasabali?,30 minutes
What is the origin of Rasabali?,Odisha
In which state was Rasabali created?,Odisha
Which state does Rasabali belong to?,Odisha
In which region is Rasabali prepared?,East
What region does Rasabali belong to?,East
In which region is Rasabali popular?,East
What is the flavor profile of Rasabali?,sweet
How does Rasabali taste?,sweet
What flavor does Rasabali have?,sweet
What is the food category of Rasabali?,dessert
In which course is Rasabali typically served?,dessert
Is Rasabali a main dish or a side dish?,dessert
What ingredients are needed to prepare Ras malai?,"Chhena, reduced milk, pistachio"
What are the required ingredients to make Ras malai?,"Chhena, reduced milk, pistachio"
What is Ras malai made of?,"Chhena, reduced milk, pistachio"
What is the dietary type of Ras malai?,vegetarian
Is Ras malai vegetarian or non-vegetarian?,vegetarian
What diet category does Ras malai belong to?,vegetarian
How long does it take to prepare Ras malai?,180 minutes
What is the preparation time for Ras malai?,180 minutes
How many minutes does it take to prepare Ras malai?,180 minutes
How long does it take to cook Ras malai?,60 minutes
What is the cooking time for Ras malai?,60 minutes
How many minutes does it take to cook Ras malai?,60 minutes
What is the origin of Ras malai?,West Bengal
In which state was Ras malai created?,West Bengal
Which state does Ras malai belong to?,West Bengal
In which region is Ras malai prepared?,East
What region does Ras malai belong to?,East
In which region is Ras malai popular?,East
What is the flavor profile of Ras malai?,sweet
How does Ras malai taste?,sweet
What flavor does Ras malai have?,sweet
What is the food category of Ras malai?,dessert
In which course is Ras malai typically served?,dessert
Is Ras malai a main dish or a side dish?,dessert
What ingredients are needed to prepare Rasgulla?,"Chhena, sugar, cardamom"
What are the required ingredients to make Rasgulla?,"Chhena, sugar, cardamom"
What is Rasgulla made of?,"Chhena, sugar, cardamom"
What is the dietary type of Rasgulla?,vegetarian
Is Rasgulla vegetarian or non-vegetarian?,vegetarian
What diet category does Rasgulla belong to?,vegetarian
How long does it take to prepare Rasgulla?,10 minutes
What is the preparation time for Rasgulla?,10 minutes
How many minutes does it take to prepare Rasgulla?,10 minutes
How long does it take to cook Rasgulla?,90 minutes
What is the cooking time for Rasgulla?,90 minutes
How many minutes does it take to cook Rasgulla?,90 minutes
What is the origin of Rasgulla?,West Bengal
In which state was Rasgulla created?,West Bengal
Which state does Rasgulla belong to?,West Bengal
In which region is Rasgulla prepared?,East
What region does Rasgulla belong to?,East
In which region is Rasgulla popular?,East
What is the flavor profile of Rasgulla?,sweet
How does Rasgulla taste?,sweet
What flavor does Rasgulla have?,sweet
What is the food category of Rasgulla?,dessert
In which course is Rasgulla typically served?,dessert
Is Rasgulla a main dish or a side dish?,dessert
What ingredients are needed to prepare Sandesh?,"Milk, sugar, saffron, cardamom"
What are the required ingredients to make Sandesh?,"Milk, sugar, saffron, cardamom"
What is Sandesh made of?,"Milk, sugar, saffron, cardamom"
What is the dietary type of Sandesh?,vegetarian
Is Sandesh vegetarian or non-vegetarian?,vegetarian
What diet category does Sandesh belong to?,vegetarian
How long does it take to prepare Sandesh?,30 minutes
What is the preparation time for Sandesh?,30 minutes
How many minutes does it take to prepare Sandesh?,30 minutes
How long does it take to cook Sandesh?,20 minutes
What is the cooking time for Sandesh?,20 minutes
How many minutes does it take to cook Sandesh?,20 minutes
What is the origin of Sandesh?,West Bengal
In which state was Sandesh created?,West Bengal
Which state does Sandesh belong to?,West Bengal
In which region is Sandesh prepared?,East
What region does Sandesh belong to?,East
In which region is Sandesh popular?,East
What is the flavor profile of Sandesh?,sweet
